id,name,exercise_type,muscles_targeted,calories_10_min,fun_factor,is_compound,how_critical,
1,Bicep Curl,Strength,Biceps,40,4,FALSE,2,
2,Burpee,Cardio,"Legs, Core, Chest",110,2,TRUE,4,
3,Deadlift,Strength,"Back, Hamstrings, Glutes, Lower Back",70-100,3,TRUE,5,
4,Squat,Strength,"Quadriceps, Hamstrings, Glutes",50-80,4,TRUE,5,
5,Bench Press,Strength,"Chest, Shoulders, Triceps",50-80,4,TRUE,5,
6,Push-up,Strength,"Chest, Shoulders, Triceps, Core",60-100,3,TRUE,5,
7,Pull-up,Strength,"Back, Biceps",50-80,2,TRUE,5,
8,Lat Pulldown,Strength,"Back, Biceps",40-60,3,TRUE,3,
9,Leg Press,Strength,"Quadriceps, Hamstrings, Glutes",50-80,2,TRUE,4,
10,Leg Extension,Strength,Quadriceps,30-50,3,FALSE,3,
11,Leg Curl,Strength,Hamstrings,30-50,3,FALSE,3,
12,Lunge,Strength,"Quadriceps, Hamstrings, Glutes",60-90,4,TRUE,4,
13,Dumbbell Row,Strength,"Back, Biceps",40-60,3,TRUE,3,
14,Dumbbell Fly,Strength,Chest,30-50,2,FALSE,2,
15,Tricep Extension,Strength,Triceps,30-50,2,FALSE,2,
16,Shoulder Press,Strength,Shoulders,40-60,3,TRUE,3,
17,Crunches,Strength,Core,30-50,3,FALSE,3,
18,Plank,Strength,Core,30-50,3,FALSE,3,
19,Russian Twist,Strength,"Core, Obliques",30-50,3,FALSE,3,
20,Plank,Strength,Core,20-30,2,FALSE,3,
21,Superman,Strength,"Lower Back, Glutes",30-50,3,FALSE,2,
22,Bird Dog,Strength,"Core, Lower Back",30-50,2,FALSE,2,
23,Squat Jump,Cardio,"Legs, Glutes",100,3,TRUE,4,
24,Jumping Jacks,Cardio,Full Body,80-100,4,FALSE,2,
25,High Knees,Cardio,"Legs, Core",80-100,3,FALSE,2,
26,Jump Rope,Cardio,Full Body,100,4,FALSE,3,
27,Mountain Climbers,Cardio,"Legs, Core",80-100,4,TRUE,3,
28,Running,Cardio,Legs,100-150,4,FALSE,5,
29,Cycling,Cardio,Legs,80-120,4,FALSE,5,
30,Swimming,Cardio,Full Body,120,5,FALSE,5,
31,Yoga,Stretching,Full Body,30-50,4,FALSE,4,
32,Pilates,Stretching,"Core, Full Body",30-50,4,FALSE,4,
33,Tai Chi,Stretching,Full Body,20-30,3,FALSE,3,
34,Foam Rolling,Stretching,Full Body,20-30,2,FALSE,3,
35,Stair Climbing,Endurance,"Legs, Core",100-150,3,TRUE,4,
36,Rowing Machine,Endurance,"Back, Arms, Legs",80-120,4,TRUE,4,
37,Battle Ropes,Endurance,"Arms, Shoulders, Core",80-120,4,TRUE,4,
38,Box Jumps,Endurance,"Legs, Glutes",100-150,3,TRUE,4,
39,Farmers Walk,Strongman,"Forearms, Shoulders",30-50,2,TRUE,3,
40,Tire Flips,Strongman,"Legs, Core",100-150,4,TRUE,5,
41,Kettlebell Swing,Strongman,"Glutes, Legs",100-150,4,TRUE,5,
42,Bulgarian Split Squat,Strength,"Legs, Glutes",40-60,3,FALSE,4,
43,Lateral Lunges,Strength,"Legs, Glutes",40-60,3,FALSE,3,
44,Push Press,Strength,"Shoulders, Arms",40-60,3,TRUE,3,
45,Tricep Dips,Strength,"Triceps, Chest",30-50,2,FALSE,2,
46,Side Plank,Strength,Obliques,20-30,2,FALSE,2,
47,Medicine Ball Slam,Strength,Full Body,80-100,4,TRUE,4,
48,Wall Balls,Strength,"Legs, Core",80-100,4,TRUE,4,
49,Elliptical,Cardio,Full Body,80-120,3,FALSE,4,
50,Box Jumps,Cardio,"Legs, Core",80-120,4,TRUE,4,
